"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"269","Audric Estime","RB","DEN",51.8,10,2.03,44.2,65.2,-61.9,-39.9,-76.1,296,233,346,68,"14",NA,NA,68
"270","Woody Marks","RB","HOU",49.7,31.1,0.444,5.35,93,-63.9,-78.8,-48.3,303,408,262,69,"14",177,3.16,99
"271","Devin Singletary","RB","NYG",49.3,22.2,0.212,10.8,77.2,-64.3,-73.3,-64.1,306,381,302,70,"14",198,1.3,85
"272","Cam Akers","RB","NO",49.1,0.806,0.765,48.3,49.8,-64.6,-35.8,-91.5,308,226,401,71,"14",230,2.5,18
"273","Sean Tucker","RB","TB",48.3,11.9,0.837,33.5,61.6,-65.3,-50.6,-79.7,314,261,356,72,"14",197,2.76,56
"274","Anthony Richardson","QB","IND",202,67.4,17.5,103,277,-71.1,-155,-20.3,353,538,194,29,"11",130,5.87,91
"275","Russell Wilson","QB","NYG",184,45.9,43.2,111,237,-88.7,-147,-60.1,447,537,291,30,"12",145,3.82,80
"276","Tyler Shough","QB","NO",141,45.8,47.1,76.5,226,-132,-182,-70.8,611,539,324,31,"13",166,5.08,86
"277","Joe Flacco","QB","CLE",94.1,33.5,5.8,41.1,145,-179,-217,-152,614,540,539,32,"14",186,2.72,71
"278","Daniel Jones","QB","IND",88.3,56.1,14.6,0.38,154,-185,-258,-143,615,556,521,33,"15",178,3.78,89
"279","Kirk Cousins","QB","ATL",73.7,96,2.15,0.0882,208,-199,-258,-89.4,616,570,390,34,"15",176,1.45,97
"280","Spencer Rattler","QB","NO",71.5,79.9,5,-3.87,223,-202,-262,-73.5,617,586,332,35,"15",186,1.61,94
"281","Deshaun Watson","QB","CLE",66.5,47.1,7.35,34.2,99.1,-207,-224,-198,618,541,546,36,"16",281,1.15,99
